Date,Closing Price (Yen) (Nilai aktual),Closing Price (Yen) (Nilai Prediksi)
2024-03-01,39910.82,39168.92093149125
2024-03-04,40109.23,41019.995321490765
2024-03-05,40097.63,39775.27103511095
2024-03-06,40090.78,38932.96680691659
2024-03-07,39598.71,38557.03277658164
2024-03-08,39688.94,40528.7727392292
2024-03-11,38820.49,39721.60818160891
2024-03-12,38797.51,39632.523270593876
2024-03-13,38695.97,39451.32420685529
2024-03-14,38807.38,38848.86684219539
2024-03-15,38707.64,38685.500163583754
2024-03-18,39740.44,39047.006788493396
2024-03-19,40003.6,36830.724404285545
2024-03-21,40815.66,38363.73541621983
2024-03-22,40888.43,37974.118455116746
2024-03-25,40414.12,40062.63358522892
2024-03-26,40398.03,39044.357952330705
2024-03-27,40762.73,39000.57630791485
2024-03-28,40168.07,40829.56383849263
2024-03-29,40369.44,41049.55960035324
