,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,160,6,160,0.001
1,192,9,256,0.001
2,64,6,64,0.01
3,64,9,256,0.001
4,64,6,160,0.01
5,96,8,192,0.001
6,96,8,256,0.001
7,64,6,160,0.01
8,64,5,256,0.0001
9,96,8,192,0.001
10,64,9,256,0.001
11,128,7,128,0.001
12,64,7,32,0.01
13,96,8,256,0.001
14,96,10,192,0.001
15,128,7,128,0.001
16,96,8,192,0.001
17,64,9,256,0.001
18,32,10,224,0.001
19,128,6,128,0.0001
20,224,10,96,0.001
21,256,9,96,0.0001
22,64,5,96,0.0001
23,224,7,224,0.0001
24,256,9,128,0.0001
25,32,6,32,0.0001
26,128,10,160,0.0001
27,64,7,32,0.01
28,224,10,128,0.01
29,256,5,160,0.01
