,lstm_n_units,lstm_n_units_2,learning_rate
0,160,256,0.01
1,64,96,0.01
2,224,160,0.01
3,192,96,0.01
4,64,128,0.01
5,64,96,0.01
6,64,160,0.001
7,64,128,0.01
8,64,160,0.001
9,192,32,0.0001
10,64,128,0.01
11,96,32,0.0001
12,96,128,0.001
13,128,192,0.0001
14,64,96,0.01
15,192,32,0.0001
16,192,224,0.0001
17,256,64,0.0001
18,128,64,0.0001
19,96,128,0.001
20,32,160,0.0001
21,128,192,0.0001
22,160,160,0.001
23,128,160,0.0001
24,192,96,0.0001
25,96,256,0.0001
26,96,224,0.01
27,224,64,0.0001
28,224,64,0.01
29,32,128,0.01
